Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,GridRefXY,SMC Section,RHB Section,Height (m),"Height
(ft)",Map 1:50k,Map 1:25k,Grid Ref,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,,,Latitude,Longitude
11,29,"http://www.streetmap.co.uk/map?X=240815&Y=721112&SV=240815,721112&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 40815 21112,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=29,Cruach Ardrain SW Top,NN 40815 21112,1,01C,1044.9,3428,51 56,OL39N 364N,NN408211,240815,721112,TOP,MUN,MUN,MUN,MUN,MUN,,,,,,240815,721112,56.355482,-4.5779087
12,40,"http://www.streetmap.co.uk/map?X=241285&Y=721716&SV=241285,721716&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41285 21716,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=40,Cruach Ardrain - Stob Garbh SE Top,NN 41285 21716,1,01C,923.5,3030,51 56,OL39N 364N,NN412217,241285,721716,TOP,,,,,,,,,,,241285,721716,56.36106,-4.5706757
13,34,"http://www.streetmap.co.uk/map?X=241112&Y=722142&SV=241112,722142&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41112 22142,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=34,Cruach Ardrain - Stob Garbh,NN 41112 22142,1,01C,957.7,3142,51,OL39N 364N,NN411221,241112,722142,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,241112,722142,56.364826,-4.5737306
14,31,"http://www.streetmap.co.uk/map?X=237873&Y=719343&SV=237873,719343&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37873 19343,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=31,An Caisteal,NN 37873 19343,1,01C,995.9,3267,50 56,OL39N 364N,NN378193,237873,719343,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,237873,719343,56.338606,-4.6243761
15,35,"http://www.streetmap.co.uk/map?X=241660&Y=719604&SV=241660,719604&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 41660 19604,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=35,Beinn Tulaichean,NN 41660 19604,1,01C,945.8,3103,56,OL46N 365N,NN416196,241660,719604,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,241660,719604,56.342231,-4.5633398
16,2925,"http://www.streetmap.co.uk/map?X=238755&Y=718573&SV=238755,718573&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 38755 18573,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2925,Beinn a' Chroin,NN 38755 18573,1,01C,941.4,3089,50 56,OL39N 364N,NN387185,238755,718573,,,,,,,,,,,MUN,238755,718573,56.331997,-4.6096524
17,36,"http://www.streetmap.co.uk/map?X=239396&Y=718594&SV=239396,718594&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 39396 18594,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=36,Beinn a' Chroin East Top,NN 39396 18594,1,01C,940.1,3084,50 56,OL39N 364N,NN393185,239396,718594,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,TOP,239396,718594,56.332403,-4.5993094
18,37,"http://www.streetmap.co.uk/map?X=238590&Y=718551&SV=238590,718551&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 38590 18551,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=37,Beinn a' Chroin West Top,NN 38590 18551,1,01C,937.9,3077,50 56,OL39N 364N,NN385185,238590,718551,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,,238590,718551,56.331743,-4.6123045
19,38,"http://www.streetmap.co.uk/map?X=236760&Y=717957&SV=236760,717957&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 36760 17957,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=38,Beinn Chabhair,NN 36760 17957,1,01C,932.2,3058,50 56,OL39N 364N,NN367179,236760,717957,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,236760,717957,56.325785,-4.6414999
20,65,"http://www.streetmap.co.uk/map?X=226635&Y=726296&SV=226635,726296&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26635 26296,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=65,Ben Lui [Beinn Laoigh],NN 26635 26296,1,01D,1131.4,3712,50,OL39N 364N 377E,NN266262,226635,726296,MUN,MUN,MUN,MUN,MUN,,MUN,MUN,MUN,MUN,MUN,226635,726296,56.397017,-4.81053
21,66,"http://www.streetmap.co.uk/map?X=226544&Y=726413&SV=226544,726413&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 26544 26413,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=66,Ben Lui NW Top,NN 26544 26413,1,01D,1127,3698,50,OL39N 364N 377E,NN265264,226544,726413,,,,,,MUN,TOP,TOP,TOP,,,226544,726413,56.398033,-4.8120798
22,67,"http://www.streetmap.co.uk/map?X=228761&Y=725348&SV=228761,725348&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 28761 25348,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=67,Ben Oss,NN 28761 25348,1,01D,1029,3376,50,OL39N 364N 377E,NN287253,228761,725348,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,228761,725348,56.389285,-4.7755102
23,69,"http://www.streetmap.co.uk/map?X=230763&Y=725493&SV=230763,725493&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 30763 25493,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=69,Beinn Dubhchraig,NN 30763 25493,1,01D,978,3209,50,OL39N 364N 377E,NN307254,230763,725493,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,230763,725493,56.391308,-4.7432155
24,75,"http://www.streetmap.co.uk/map?X=225054&Y=725606&SV=225054,725606&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25054 25606,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=75,Beinn a' Chleibh,NN 25054 25606,1,01D,916.3,3006,50,OL39N 364N 377E,NN250256,225054,725606,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,225054,725606,56.390243,-4.8356501
25,71,"http://www.streetmap.co.uk/map?X=229509&Y=712474&SV=229509,712474&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 29509 12474,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=71,Ben Vorlich,NN 29509 12474,1,01D,943,3094,50 56,OL39N OL39S 364N 364S,NN295124,229509,712474,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,229509,712474,56.274027,-4.7550669
26,73,"http://www.streetmap.co.uk/map?X=229476&Y=713008&SV=229476,713008&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 29476 13008,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=73,Ben Vorlich North Top,NN 29476 13008,1,01D,931,3054,50 56,OL39N 364N,NN294130,229476,713008,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,229476,713008,56.278808,-4.7559441
27,68,"http://www.streetmap.co.uk/map?X=225497&Y=708488&SV=225497,708488&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 25497 08488,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=68,Beinn Ime,NN 25497 08488,1,01D,1012.2,3321,56,OL39S 364S,NN254084,225497,708488,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,225497,708488,56.236801,-4.8171437
28,76,"http://www.streetmap.co.uk/map?X=227753&Y=709844&SV=227753,709844&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 27753 09844,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=76,Ben Vane,NN 27753 09844,1,01D,915.76,3004,56,OL39S 364S,NN277098,227753,709844,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,227753,709844,56.249793,-4.7816752
29,74,"http://www.streetmap.co.uk/map?X=227168&Y=706655&SV=227168,706655&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 27168 06655,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=74,Beinn Narnain,NN 27168 06655,1,01D,927,3041,56,OL39S 364S,NN271066,227168,706655,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,227168,706655,56.220963,-4.7890226
30,1419,"http://www.streetmap.co.uk/map?X=221803&Y=707893&SV=221803,707893&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 21803 07893,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1419,Beinn an Lochain,NN 21803 07893,1,19C,901.7,2958,56,OL37N OL39S 363N 364S,NN218078,221803,707893,MUN,MUN,MUN,MUN,MUN,MUN,,,,,,221803,707893,56.230092,-4.876261
31,70,"http://www.streetmap.co.uk/map?X=220368&Y=718717&SV=220368,718717&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 20368 18717,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=70,Beinn Bhuidhe,NN 20368 18717,1,01D,948.5,3112,50 56,OL39N 364N,NN203187,220368,718717,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,220368,718717,56.326673,-4.9067413
32,103,"http://www.streetmap.co.uk/map?X=271384&Y=754768&SV=271384,754768&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 71384 54768,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=103,Schiehallion,NN 71384 54768,2,02A,1083,3553,42 51 52,OL49W 386W,NN713547,271384,754768,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,271384,754768,56.666942,-4.1002344
33,107,"http://www.streetmap.co.uk/map?X=268491&Y=751260&SV=268491,751260&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 68491 51260,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=107,Carn Mairg,NN 68491 51260,2,02A,1042,3419,42 51,OL48E OL49W 378E 386W,NN684512,268491,751260,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,268491,751260,56.634645,-4.1456121
34,110,"http://www.streetmap.co.uk/map?X=269297&Y=751220&SV=269297,751220&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 69297 51220,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=110,Carn Mairg - Meall Liath,NN 69297 51220,2,02A,1012,3320,42 51,OL48E OL49W 378E 386W,NN692512,269297,751220,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,269297,751220,56.634511,-4.1324618
35,111,"http://www.streetmap.co.uk/map?X=266826&Y=751562&SV=266826,751562&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 66826 51562,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=111,Carn Mairg - Meall a' Bharr,NN 66826 51562,2,02A,1004,3294,42 51,OL48E OL49W 378E 386W,NN668515,266826,751562,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,266826,751562,56.636885,-4.1728906
36,109,"http://www.streetmap.co.uk/map?X=263516&Y=750071&SV=263516,750071&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 63516 50071,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=109,Carn Gorm,NN 63516 50071,2,02A,1029,3376,42 51,OL48E OL49W 378E 386W,NN635500,263516,750071,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,263516,750071,56.622547,-4.226023
37,119,"http://www.streetmap.co.uk/map?X=265027&Y=751527&SV=265027,751527&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 65027 51527,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=119,Meall Garbh East Top,NN 65027 51527,2,02A,963.7,3162,42 51,OL48E OL49W 378E 386W,NN650515,265027,751527,,,,,,MUN,MUN,,,,,265027,751527,56.636056,-4.202179
38,118,"http://www.streetmap.co.uk/map?X=264707&Y=751686&SV=264707,751686&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 64707 51686,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=118,Meall Garbh,NN 64707 51686,2,02A,968,3176,42 51,OL48E OL49W 378E 386W,NN647516,264707,751686,MUN,MUN,MUN,MUN,MUN,,,MUN,MUN,MUN,MUN,264707,751686,56.637391,-4.2074752
39,127,"http://www.streetmap.co.uk/map?X=265644&Y=750993&SV=265644,750993&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 65644 50993,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=127,Meall Garbh - Meall Luaidhe,NN 65644 50993,2,02A,921.1,3022,42 51,OL48E OL49W 378E 386W,NN656509,265644,750993,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,265644,750993,56.631439,-4.1918498
40,125,"http://www.streetmap.co.uk/map?X=264073&Y=750956&SV=264073,750956&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 64073 50956,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=125,Carn Gorm - An Sgorr,NN 64073 50956,2,02A,924,3031,42 51,OL48E OL49W 378E 386W,NN640509,264073,750956,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,264073,750956,56.630654,-4.2174188
41,115,"http://www.streetmap.co.uk/map?X=269477&Y=749669&SV=269477,749669&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 69477 49669,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=115,Meall na Aighean,NN 69477 49669,2,02A,981,3219,51,OL48E OL49W 378E 386W,NN694496,269477,749669,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,269477,749669,56.620637,-4.1287452
42,120,"http://www.streetmap.co.uk/map?X=248305&Y=744840&SV=248305,744840&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 48305 44840,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=120,Stuc an Lochain [Stuchd an Lochain],NN 48305 44840,2,02A,960,3150,51,OL48W 378W,NN483448,248305,744840,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,248305,744840,56.570917,-4.4706156
43,124,"http://www.streetmap.co.uk/map?X=249337&Y=744557&SV=249337,744557&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 49337 44557,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=124,Stuc an Lochain - Sron Chona Choirein,NN 49337 44557,2,02A,927,3041,51,OL48W 378W,NN493445,249337,744557,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,249337,744557,56.56871,-4.4536716
44,123,"http://www.streetmap.co.uk/map?X=249838&Y=749946&SV=249838,749946&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 49838 49946,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=123,Meall Buidhe,NN 49838 49946,2,02A,932.1,3058,51,OL48W 378W,NN498499,249838,749946,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,249838,749946,56.61724,-4.4486542
45,128,"http://www.streetmap.co.uk/map?X=250065&Y=748941&SV=250065,748941&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 50065 48941,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=128,Meall Buidhe SE Top,NN 50065 48941,2,02A,917,3009,51,OL48W 378W,NN500489,250065,748941,TOP,TOP,TOP,TOP,TOP,TOP,,,,,,250065,748941,56.608292,-4.4443756
46,105,"http://www.streetmap.co.uk/map?X=232554&Y=737855&SV=232554,737855&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 32554 37855,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=105,Beinn Dorain,NN 32554 37855,2,02A,1076,3530,50,377E,NN325378,232554,737855,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,232554,737855,56.502881,-4.7221645
47,112,"http://www.streetmap.co.uk/map?X=233178&Y=740868&SV=233178,740868&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 33178 40868,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=112,Beinn an Dothaidh,NN 33178 40868,2,02A,1004,3294,50,377E,NN331408,233178,740868,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,233178,740868,56.530141,-4.7139722
48,108,"http://www.streetmap.co.uk/map?X=234468&Y=743242&SV=234468,743242&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 34468 43242,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=108,Beinn Achaladair,NN 34468 43242,2,02A,1038.6,3407,50,377E,NN344432,234468,743242,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,234468,743242,56.551901,-4.6945381
49,113,"http://www.streetmap.co.uk/map?X=234226&Y=742052&SV=234226,742052&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 34226 42052,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=113,Beinn Achaladair South Top,NN 34226 42052,2,02A,1003.6,3293,50,377E,NN342420,234226,742052,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,234226,742052,56.541137,-4.69771
50,104,"http://www.streetmap.co.uk/map?X=237387&Y=744075&SV=237387,744075&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37387 44075,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=104,Beinn a' Chreachain,NN 37387 44075,2,02A,1080.6,3545,50,OL48W 377E 378W,NN373440,237387,744075,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,237387,744075,56.560396,-4.647631
51,116,"http://www.streetmap.co.uk/map?X=235981&Y=743843&SV=235981,743843&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 35981 43843,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=116,Beinn a' Chreachain - Meall Buidhe,NN 35981 43843,2,02A,977.2,3206,50,377E,NN359438,235981,743843,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,235981,743843,56.557825,-4.6703346
52,121,"http://www.streetmap.co.uk/map?X=237807&Y=744915&SV=237807,744915&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37807 44915,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=121,Beinn a' Chreachain North Top,NN 37807 44915,2,02A,959.9,3149,50,OL48W 377E 378W,NN378449,237807,744915,TOP,,,,,,,,,,,237807,744915,56.56808,-4.6413307
53,122,"http://www.streetmap.co.uk/map?X=237371&Y=741140&SV=237371,741140&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 37371 41140,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=122,Beinn Mhanach,NN 37371 41140,2,02A,953,3127,50,OL48W 377E 378W,NN373411,237371,741140,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,237371,741140,56.534051,-4.6460516
54,126,"http://www.streetmap.co.uk/map?X=236000&Y=740923&SV=236000,740923&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 36000 40923,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=126,Beinn Mhanach - Beinn a' Chuirn,NN 36000 40923,2,02A,923,3028,50,377E,NN360409,236000,740923,MUN,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,236000,740923,56.531628,-4.6681806
55,141,"http://www.streetmap.co.uk/map?X=263553&Y=741424&SV=263553,741424&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 63553 41424,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=141,Ben Lawers,NN 63553 41424,2,02B,1214,3983,51,OL48E 378E,NN635414,263553,741424,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,263553,741424,56.544933,-4.220862
56,142,"http://www.streetmap.co.uk/map?X=263890&Y=743103&SV=263890,743103&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 63890 43103,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=142,An Stuc,NN 63890 43103,2,02B,1117.1,3665,51,OL48E 378E,NN638431,263890,743103,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,MUN,MUN,263890,743103,56.560104,-4.2162667
57,147,"http://www.streetmap.co.uk/map?X=263573&Y=742242&SV=263573,742242&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 63573 42242,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=147,Ben Lawers - Creag an Fhithich,NN 63573 42242,2,02B,1047,3435,51,OL48E 378E,NN635422,263573,742242,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,263573,742242,56.552282,-4.2209672
58,143,"http://www.streetmap.co.uk/map?X=264437&Y=743757&SV=264437,743757&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 64437 43757,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=143,Meall Garbh,NN 64437 43757,2,02B,1123.1,3685,51,OL48E 378E,NN644437,264437,743757,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,264437,743757,56.566133,-4.207716
59,154,"http://www.streetmap.co.uk/map?X=267400&Y=743808&SV=267400,743808&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 67400 43808,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=154,Meall Greigh,NN 67400 43808,2,02B,1001,3284,51,OL48E 378E,NN674438,267400,743808,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,267400,743808,56.567437,-4.1595623
60,144,"http://www.streetmap.co.uk/map?X=262529&Y=740463&SV=262529,740463&A=Y&Z=115",http://www.geograph.org.uk/gridref/NN 62529 40463,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=144,Beinn Ghlas,NN 62529 40463,2,02B,1103,3619,51,OL48E 378E,NN625404,262529,740463,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,MUN,262529,740463,56.536008,-4.2369937
